trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-155.45602746809703,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-54.230866692019205,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,0.7399524295546434,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,18,-3.873041233296135,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,11,-3.6185404386108964,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-27.082692431646173,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,0,-62.685998137664306,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,0,-28.15235895562549,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",25,0,-12.203123153041423,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",35,13,-67.99915010823453,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",30,8,-59.787990401718666,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,4,-35.24142246990661,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,0,-77.2364514956006,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,0,-2.191501603448133,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-37.451895393367735,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,9,-33.28103388849996,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",30,1,-58.615598682062135,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,-116.584723060032,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-68.53914603136452,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
